cnname,cnbelong,cnprovinceName,cncityName
云南大学,省政府,云南,昆明市
浙江工业大学,省政府,浙江,杭州市
北京交通大学(威海校区),教育部,山东,威海市
中央戏剧学院,教育部,北京,东城区
深圳技术大学,省政府,广东,深圳市
澳门理工大学,澳门特区政府,澳门,澳门
东北财经大学,省政府,辽宁,大连市
郑州大学,省政府,河南,郑州市
南方医科大学,省政府,广东,广州市
北京中医药大学,教育部,北京,朝阳区
广东工业大学,省政府,广东,广州市
首都经济贸易大学,市政府,北京,丰台区
西安邮电大学,省政府,陕西,西安市
中国民航大学,交通运输部,天津,东丽区
重庆邮电大学,市政府,重庆,南岸区
北京协和医学院,国卫委,北京,东城区
南京医科大学,省政府,江苏,南京市
天津工业大学,市政府,天津,西青区
贵州大学,省政府,贵州,贵阳市
上海理工大学,市政府,上海,杨浦区
宁波大学,省政府,浙江,宁波市
澳门科技大学,澳门特区政府,澳门,澳门
燕山大学,省政府,河北,秦皇岛
湘潭大学,省政府,湖南,湘潭市
内蒙古大学,自治区政府,内蒙古,呼和浩特市
东北林业大学,教育部,黑龙江,哈尔滨市
首都医科大学,市政府,北京,丰台区
武汉科技大学,省政府,湖北,武汉市
海南大学,省政府,海南,海口市
大连医科大学,省政府,辽宁,大连市
康复大学,省政府,山东,青岛市
西南石油大学,省政府,四川,成都市
广东外语外贸大学,省政府,广东,广州市
华南农业大学,省政府,广东,广州市
东北电力大学,省政府,吉林,吉林市
上海戏剧学院,市政府,上海,静安区
江西财经大学,省政府,江西,南昌市
澳门城市大学,澳门特区政府,澳门,澳门
重庆医科大学,市政府,重庆,渝中区
青岛大学,省政府,山东,青岛市
上海海关学院,海关总署,上海,浦东新区
陆军工程大学,人民解放军陆军,江苏,南京市
浙江工商大学,省政府,浙江,杭州市
沈阳航空航天大学,省政府,辽宁,沈阳市
哈尔滨医科大学,省政府,黑龙江,哈尔滨市
西南大学(荣昌校区),教育部,重庆,荣昌区
上海中医药大学,市政府,上海,浦东新区
西安理工大学,省政府,陕西,西安市
江苏大学,省政府,江苏,镇江市
广州大学,省政府,广东,广州市
