项目名称,项目ID,项目地点
霞浦县新型智慧教育项目设计（重新招标）,273766,霞浦县
漳州市医院古雷分院医疗服务能力提升工程设计,273764,市本级
海沧区莲花社区城中村现代化治理项目（EPC+O）,273760,厦门市
宋元海丝宴沉浸式文化中心（招标公告）,273759,石狮市
南日海岛公益性公墓区建设项目,273753,秀屿区
策福路（西柯派出所-埭湖路段）道路工程（施工）,273750,厦门市
永安市城乡供水一体化建设项目永安市城乡供水一体化工程——主城区独立供水分区西区水厂至南区水厂水源联通工程、东部独立供水分区青水乡备用水源输水工程,273748,永安市
云翔（奥克兰电工设备）产业园基础设施配套工程—云翔产业园创业服务中心（一期）云翔（奥克兰电工设备）产业园基础设施配套工程-云翔产业园创业服务中心（一期）强电工程全过程咨询服务招标公告,273747,云霄县
龙岩市永定区城镇饮用水水源地治理工程（水质监测设备采购）,273743,永定县
漳州市芗城区老旧城区排水等基础设施改造项目（一期工程）招标公告,273741,市本级
上杭县临城龙翔居家社区养老服务照料中心及综合服务中心建设项目,273736,上杭县
武平县东南片区地下管网建设工程(完善工程),273735,武平县
五缘湾2025P11项目（监理）,273731,厦门市
石牛山创建国家5A级旅游景区配套设施提升工程（一期）工程总承包+投融资（招标公告）,273727,德化县
晋江市新港排涝通道改造提升工程勘察设计（招标公告）,273725,晋江市
厦门翔安机场东航基地一期生产辅助设施区项目（勘察设计“评定分离”）,273724,厦门市
蕉城区农村生活污水治理重点工程（监理）,273715,蕉城区
延平区赤门赤黄线道路改建工程,273714,延平区
翔安洋塘公交地块保障性租赁住房（监理）,273710,厦门市
建瓯市城西污水处理厂二期扩建工程-水处理通用、鼓风曝气和污泥脱水系统设备标,273706,建瓯市
南安市官桥镇盐田村农村人居环境改善项目建设运营一体化项目（招标公告）,273693,南安市
晋江防洪提升工程南安段二期（招标公告）,273692,南安市
儒茶溪光泽县治理工程,273691,光泽县
崇武国家基准气候站基础设施建设项目（招标公告）,273690,惠安县
宁德市侨兴社区公共区域提升改造工程,273689,市本级
霞浦县三沙光影旅游基础设施提升建设项目—道路配套管线工程全过程咨询项目,273686,霞浦县
霞浦县乡镇污水处理提升改造工程二期-（北壁乡）,273685,霞浦县
同安区城南片区挂牌地块市政道路工程（双吉路与霞煌路交叉口东南侧）（施工）,273684,厦门市
莆田市木兰溪绶溪片区八二一街以南城中村保障性安居项目施工监理,273683,荔城区
2025P15地块（设计“评定分离”）,273681,厦门市
福州地铁集团有限公司运营事业部2025-2028年工务备件及耗材采购项目-招标公告,273679,福州市
G235线K1840+800-K1868+560、K1874+350-K1877+640灾害防治工程,273678,永定县
福建省仙游木兰抽水蓄能电站卷扬式启闭设备采购,273677,市本级
福州机场第二高速公路文溪枢纽互通工程施工-招标公告,273675,福建省
泉州师范学院南安校区实训综合楼项目（招标公告）,273671,南安市
福建省高速公路龙岩片区5处（古田AB、七峰山AB、适中B服务区）充电基础设施建设项目-招标公告,273670,福建省
福州港罗源湾港区碧里作业区 3 #、4#泊位装卸工艺提升改造工程监理-招标公告,273667,福建省
华安县城区排水提升工程（二期）——城区污水管网提质增效工程（四目坑、下坂片区）监理招标公告,273660,华安县
2025年新店街道洪前社区城中村现代化治理项目（施工）,273658,厦门市
三明文川溪（美坂）水库三明市文川溪（美坂）水库工程可行性研究报告勘察及初步设计阶段勘察设计,273655,永安市
福建省鹿溪幸福河湖建设项目勘察设计招标公告,273654,漳浦县
安溪龙门中学学生宿舍楼（招标公告）,273653,安溪县
青口镇青山路道路改造工程（一期）（施工）-招标公告,273651,闽侯县
南靖县龙山镇X574龙山桥重建工程招标公告,273649,南靖县
厦门小白鹭艺术中心金荣剧场提升改造项目（施工）,273647,厦门市
南平武夷名仕园1#楼装饰装修工程设计采购施工一体化项目,273645,延平区
翔安新城港汊流域市政配套工程（东片区）一期工程-绿化工程（施工）,273641,厦门市
长汀县托育综合服务中心项目建设运营一体化,273640,长汀县
福建省仙游木兰抽水蓄能电站液压启闭机设备采购,273636,市本级
永泰县城乡供水一体化项目大洋镇供水工程-招标公告,273635,永泰县
福建省仙游木兰抽水蓄能电站闸门及金属结构设备采购,273634,市本级
高新广场1号楼B区提升项目（施工）,273633,厦门市
五显镇2025年房前屋后环境整治项目（施工）,273632,厦门市
2025年翔安区内厝镇莲前村高标准农田建设项目（施工）,273629,厦门市
漳港农贸市场提升改造项目（施工）-招标公告,273628,长乐市
松溪县城区雨污分流第七期建设项目--松溪县城区雨污分流第七期建设项目（南段片区）,273624,松溪县
福清市龙田镇龙辉街改造工程及周边环境整治（施工）-招标公告,273619,福清市
漳浦县深土岈仔山一级渔港项目全过程工程咨询服务,273618,漳浦县
浦城县仙南组团职业产教融合基地-浦城县职业教育产教融合实训基地教学综合楼等配套设施及二期新扩建工程项目,273617,浦城县
宁德市天湖路万达宝信区域天桥工程,273616,市本级
连江县2025年城乡供水一体化浦口镇单村供水工程-招标公告,273613,连江县
连江县2025年城乡供水一体化浦口镇单村供水工程-招标公告,273612,连江县
福清市第四医院门急诊大楼项目（监理）-招标公告,273611,福清市
金禾广场二期10kV配电工程,273610,市本级
福安市甘棠镇茶产业提升发展项目（一期）,273609,福安市
永春县医院达埔分院附属配套工程项目（招标公告）,273607,永春县
顺昌县双溪片区老旧小区改造项目-水南片区,273604,顺昌县
长汀县城区洪涝防治提升项目（一期）—南寨梅林片区雨污分流,273603,长汀县
漳州市漳浦县城区燃气管网改造工程,273599,漳浦县
龙岩市上杭县G205灾害防治工程,273597,上杭县
武夷山市农业三产联动基础设施建设项目一期设计,273596,武夷山市
漳州市古雷片区纵六路林前段招标公告,273593,市本级
漳州市公安局基础设施项目漳州市公安业务技术综合体（EPC+O）-送配电工程（高压变配电系统）,273586,市本级
石狮市教培服务综合体项目设计（招标公告）,273585,石狮市
大田县域文江溪底泥详细调查与工程勘察及实施段污染底泥整治效果评估项目（二次）,273581,大田县
明溪县河滨北路排水防涝基础设施建设项目（四期）-市场路、三元路,273579,明溪县
建瓯市水源乡古丁洋水库工程设计（二次招标）,273575,建瓯市
福州滨海新城仙岐路、仙滨路配套管网及路面提升改造工程（施工）-招标公告,273574,长乐市
漳州西湖生态园退让绿地提升（一期）工程,273572,市本级
霞浦县乡镇污水处理提升改造工程二期-（三沙镇）,273570,霞浦县
机场至国宾馆沿线整治工程设计施工总承包（EPC）-招标公告,273569,福州市
永泰抽水蓄能电站福州控制中心机电设备安装调试及配套工程施工（再次招标）-招标公告,273568,永泰县
福和大道（清荣大道-清大路）道路管网、路面修复及智慧灯杆等工程（施工）-招标公告,273567,福清市
武夷山市主城区、度假区污水处理提质增效项目（一期）-排口整治项目,273566,武夷山市
2025年上杭县太拔镇高标准农田建设项目(新建及改造提升),273565,上杭县
厦门新机场机务维修区配套道路工程（施工）,273558,厦门市
松溪县总医院及分院改扩建项目——县域体检中心（祖墩）改扩建工程（祖墩乡医养服务中心项目二期）,273557,松溪县
